MSH|^~\&|OERDB|QTE|NEON||201410241952||MFN^OT|01|P|2.3
QTE^10124F^Jan  1 1900 12:00AM^TETERBORO^86141^L^50.00
QTE^10148T^Jan  1 1900 12:00AM^TETERBORO^G0434^L^118.00
QTE^10157T^Jan  1 1900 12:00AM^TETERBORO^84153^L^143.04
QTE^10247X^Jan  1 1900 12:00AM^TETERBORO^81401^L^460.22
QTE^10270A^Jan  1 1900 12:00AM^TETERBORO^83701^L^216.20
QTE^10306F^Jan  1 1900 12:00AM^TETERBORO^80074^L^485.66
QTE^103341E^Jan  1 1900 12:00AM^TETERBORO^86304^L^172.40
QTE^104497W^Jan  1 1900 12:00AM^TETERBORO^82947^L^30.17
QTE^10481N^Jan  1 1900 12:00AM^TETERBORO^86003^L^31.10
QTE^10483N^Jan  1 1900 12:00AM^TETERBORO^86003^L^96.41
QTE^10625X^Jan  1 1900 12:00AM^TETERBORO^86003^L^72.91
QTE^10643X^Jan  1 1900 12:00AM^TETERBORO^86003^L^933.88
QTE^10659X^Jan  1 1900 12:00AM^TETERBORO^86003^L^553.51
QTE^10715X^Jan  1 1900 12:00AM^TETERBORO^86003^L^373.15
QTE^10723X^Jan  1 1900 12:00AM^TETERBORO^86003^L^72.91
QTE^10724X^Jan  1 1900 12:00AM^TETERBORO^86003^L^72.91
QTE^1073A^Jan  1 1900 12:00AM^TETERBORO^84436^L^99.51
QTE^10801A^Jan  1 1900 12:00AM^TETERBORO^87621^L^125.84
QTE^10933X^Jan  1 1900 12:00AM^TETERBORO^86003^L^72.91
QTE^10969Z^Jan  1 1900 12:00AM^TETERBORO^88182^L^1473.95
QTE^10976X^Jan  1 1900 12:00AM^TETERBORO^84153^L^119.41
QTE^10978X^Jan  1 1900 12:00AM^TETERBORO^81406^L^2490.00
QTE^10986X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^116.00
QTE^10992X^Jan  1 1900 12:00AM^TETERBORO^87798^L^560.04
QTE^109T^Jan  1 1900 12:00AM^TETERBORO^82947^L^41.86
QTE^11011X^Jan  1 1900 12:00AM^TETERBORO^86003^L^43.41
QTE^11015N^Jan  1 1900 12:00AM^TETERBORO^88184^L^310.96
QTE^11051X^Jan  1 1900 12:00AM^TETERBORO^85307^L^791.26
QTE^11068X^Jan  1 1900 12:00AM^TETERBORO^87798^L^482.61
QTE^11109X^Jan  1 1900 12:00AM^TETERBORO^86003^L^31.10
QTE^11121X^Jan  1 1900 12:00AM^TETERBORO^86003^L^72.91
QTE^1115F^Jan  1 1900 12:00AM^TETERBORO^88164^F^104.48
QTE^111724N^Jan  1 1900 12:00AM^TETERBORO^86003^L^31.10
QTE^111906N^Jan  1 1900 12:00AM^TETERBORO^86003^L^72.91
QTE^11190X^Jan  1 1900 12:00AM^TETERBORO^87798^L^560.04
QTE^111914N^Jan  1 1900 12:00AM^TETERBORO^86003^L^59.69
QTE^11195X^Jan  1 1900 12:00AM^TETERBORO^86003^L^84.00
QTE^111971A^Jan  1 1900 12:00AM^TETERBORO^86003^L^34.95
QTE^112011N^Jan  1 1900 12:00AM^TETERBORO^86003^L^89.13
QTE^11236X^Jan  1 1900 12:00AM^TETERBORO^86003^L^72.91
QTE^11244X^Jan  1 1900 12:00AM^TETERBORO^81479^L^427.88
QTE^11247X^Jan  1 1900 12:00AM^TETERBORO^81406^L^427.88
QTE^112730E^Jan  1 1900 12:00AM^TETERBORO^85008^L^24.32
QTE^11351X^Jan  1 1900 12:00AM^TETERBORO^87798^L^623.48
QTE^11352X^Jan  1 1900 12:00AM^TETERBORO^87798^L^580.12
QTE^11353X^Jan  1 1900 12:00AM^TETERBORO^87798^L^409.22
QTE^11361X^Jan  1 1900 12:00AM^TETERBORO^87491^L^99.51
QTE^11362X^Jan  1 1900 12:00AM^TETERBORO^87591^L^99.51
QTE^11363X^Jan  1 1900 12:00AM^TETERBORO^87491^L^199.01
QTE^11365X^Jan  1 1900 12:00AM^TETERBORO^87798^L^486.35
QTE^117T^Jan  1 1900 12:00AM^TETERBORO^82728^L^177.87
QTE^139261P^Jan  1 1900 12:00AM^TETERBORO^86341^N^205.23
QTE^141A^Jan  1 1900 12:00AM^TETERBORO^85027^L^40.51
QTE^1430X^Jan  1 1900 12:00AM^TETERBORO^82947^L^64.68
QTE^14450X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^363.83
QTE^1446F^Jan  1 1900 12:00AM^TETERBORO^84436^L^129.36
QTE^14513X^Jan  1 1900 12:00AM^TETERBORO^81405^L^2995.00
QTE^14566X^Jan  1 1900 12:00AM^TETERBORO^87798^L^429.12
QTE^14567X^Jan  1 1900 12:00AM^TETERBORO^87798^L^560.04
QTE^14568X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^409.00
QTE^14577X^Jan  1 1900 12:00AM^TETERBORO^87480^L^323.40
QTE^14741X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^211.45
QTE^14755X^Jan  1 1900 12:00AM^TETERBORO^81402^L^615.70
QTE^14808X^Jan  1 1900 12:00AM^TETERBORO^84153^L^123.14
QTE^14852X^Jan  1 1900 12:00AM^TETERBORO^80061^L^141.69
QTE^14871X^Jan  1 1900 12:00AM^TETERBORO^81401^L^460.22
QTE^14974X^Jan  1 1900 12:00AM^TETERBORO^81404^L^893.08
QTE^14979X^Jan  1 1900 12:00AM^TETERBORO^81404^L^893.08
QTE^14984X^Jan  1 1900 12:00AM^TETERBORO^81293^L^502.32
QTE^14989X^Jan  1 1900 12:00AM^TETERBORO^81301^L^646.80
QTE^14991X^Jan  1 1900 12:00AM^TETERBORO^81401^L^503.76
QTE^14992X^Jan  1 1900 12:00AM^TETERBORO^81401^L^442.81
QTE^14994X^Jan  1 1900 12:00AM^TETERBORO^81315^L^432.60
QTE^14995X^Jan  1 1900 12:00AM^TETERBORO^81401^L^442.81
QTE^15007X^Jan  1 1900 12:00AM^TETERBORO^81402^L^870.69
QTE^15012X^Jan  1 1900 12:00AM^TETERBORO^81293^L^522.41
QTE^15031X^Jan  1 1900 12:00AM^TETERBORO^87491^L^136.82
QTE^15033X^Jan  1 1900 12:00AM^TETERBORO^87591^L^99.51
QTE^15062X^Jan  1 1900 12:00AM^TETERBORO^87798^L^409.22
QTE^15063X^Jan  1 1900 12:00AM^TETERBORO^81402^L^615.70
QTE^15102X^Jan  1 1900 12:00AM^TETERBORO^84443^L^134.34
QTE^15119X^Jan  1 1900 12:00AM^TETERBORO^84153^B^143.04
QTE^15214R^Jan  1 1900 12:00AM^TETERBORO^82947^L^32.34
QTE^15480X^Jan  1 1900 12:00AM^TETERBORO^81263^L^553.51
QTE^15802X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^80.85
QTE^15861X^Jan  1 1900 12:00AM^TETERBORO^81402^L^395.90
QTE^15873X^Jan  1 1900 12:00AM^TETERBORO^87798^L^580.12
QTE^15934X^Jan  1 1900 12:00AM^TETERBORO^82105^L^893.08
QTE^15949X^Jan  1 1900 12:00AM^TETERBORO^87621^L^154.23
QTE^16000X^Jan  1 1900 12:00AM^TETERBORO^88184^L^310.96
QTE^16011X^Jan  1 1900 12:00AM^TETERBORO^86152^L^901.78
QTE^16029X^Jan  1 1900 12:00AM^TETERBORO^81403^L^522.41
QTE^16031X^Jan  1 1900 12:00AM^TETERBORO^81403^L^522.41
QTE^16046X^Jan  1 1900 12:00AM^TETERBORO^87798^L^420.42
QTE^16053X^Jan  1 1900 12:00AM^TETERBORO^81405^L^988.85
QTE^16054X^Jan  1 1900 12:00AM^TETERBORO^81405^L^988.85
QTE^16061X^Jan  1 1900 12:00AM^TETERBORO^81401^L^364.45
QTE^16062X^Jan  1 1900 12:00AM^TETERBORO^81401^L^364.45
QTE^16072X^Jan  1 1900 12:00AM^TETERBORO^81405^L^615.70
QTE^16073X^Jan  1 1900 12:00AM^TETERBORO^81405^L^615.70
QTE^16108X^Jan  1 1900 12:00AM^TETERBORO^81401^L^561.60
QTE^16116X^Jan  1 1900 12:00AM^TETERBORO^81405^L^834.62
QTE^16117X^Jan  1 1900 12:00AM^TETERBORO^81405^L^834.62
QTE^16124X^Jan  1 1900 12:00AM^TETERBORO^81404^L^740.08
QTE^16125X^Jan  1 1900 12:00AM^TETERBORO^81404^L^740.08
QTE^16127X^Jan  1 1900 12:00AM^TETERBORO^81275^L^1548.58
